Index,Data
0,0
1,0
2,0
3,0
4,0
5,0.274704
6,0.274704
7,0.274704
8,0.274704
9,0.274704
10,0.274704
11,0.274704
12,0.274704
13,0.274704
14,0.274704
15,0.384475
16,0.384475
17,0.384475
18,0.384475
19,0.384475
20,0.384475
21,0.384475
22,0.384475
23,0.384475
24,0.384475
25,0.384475
26,0.384475
27,0.384475
28,0.458891
29,0.458891
30,0.458891
31,0.458891
32,0.458891
33,0.458891
34,0.458891
35,0.458891
36,0.458891
37,0.458891
38,0.458891
39,0.458891
40,0.458891
41,0.458891
42,0.577833
43,0.577833
44,0.577833
45,0.577833
46,0.577833
47,0.577833
48,0.577833
49,0.577833
50,0.577833
51,0.577833
52,0.577833
53,0.577833
54,0.577833
55,0.628141
56,0.628141
57,0.628141
58,0.628141
59,0.628141
60,0.628141
61,0.628141
62,0.628141
63,0.628141
64,0.628141
65,0.628141
66,0.628141
67,0.628141
68,0.628141
69,0.696552
70,0.696552
71,0.696552
72,0.696552
73,0.696552
74,0.696552
75,0.696552
76,0.696552
77,0.696552
78,0.696552
79,0.696552
80,0.696552
81,0.696552
82,0.696552
83,0.696552
84,0.696552
85,0.696552
86,0.736399
87,0.736399
88,0.736399
89,0.736399
90,0.736399
91,0.736399
92,0.736399
93,0.736399
94,0.736399
95,0.736399
96,0.736399
97,0.736399
98,0.736399
99,0.736399
100,0.736399
101,0.736399
102,0.736399
103,0.736399
104,0.736399
105,0.736399
106,0.736399
107,0.736399
108,0.785973
109,0.785973
110,0.785973
111,0.785973
112,0.785973
113,0.785973
114,0.785973
115,0.785973
116,0.785973
117,0.785973
118,0.785973
119,0.785973
120,0.785973
121,0.785973
122,0.785973
123,0.785973
124,0.785973
125,0.785973
126,0.785973
127,0.785973
128,0.785973
129,0.803812
130,0.803812
131,0.803812
132,0.803812
133,0.803812
134,0.803812
135,0.803812
136,0.803812
137,0.803812
138,0.803812
139,0.803812
140,0.803812
141,0.803812
142,0.803812
143,0.803812
144,0.803812
145,0.803812
146,0.803812
147,0.803812
148,0.803812
149,0.803812
150,0.803812
151,0.803812
152,0.803812
153,0.817777
154,0.817777
155,0.817777
156,0.817777
157,0.817777
158,0.817777
159,0.817777
160,0.817777
161,0.817777
162,0.817777
163,0.817777
164,0.817777
165,0.817777
166,0.817777
167,0.817777
168,0.817777
169,0.817777
170,0.817777
171,0.817777
172,0.817777
173,0.817777
174,0.817777
175,0.83434
176,0.83434
177,0.83434
178,0.83434
179,0.83434
180,0.83434
181,0.83434
182,0.83434
183,0.83434
184,0.83434
185,0.83434
186,0.83434
187,0.83434
188,0.83434
189,0.83434
190,0.83434
191,0.83434
192,0.83434
193,0.83434
194,0.83434
195,0.83434
196,0.83434
197,0.83434
198,0.83434
199,0.83434
200,0.83434
201,0.83434
202,0.83434
203,0.83434
204,0.83434
205,0.83434
206,0.840798
207,0.840798
208,0.840798
209,0.840798
210,0.840798
211,0.840798
212,0.840798
213,0.840798
214,0.840798
215,0.840798
216,0.840798
217,0.840798
218,0.840798
219,0.840798
220,0.840798
221,0.840798
222,0.840798
223,0.840798
224,0.840798
225,0.840798
226,0.840798
227,0.840798
228,0.840798
229,0.840798
230,0.840798
231,0.840798
232,0.840798
233,0.840798
234,0.840798
235,0.840798
236,0.840798
237,0.840798
238,0.840798
239,0.840798
240,0.840798
241,0.853804
242,0.853804
243,0.853804
244,0.853804
245,0.853804
246,0.853804
247,0.853804
248,0.853804
249,0.853804
250,0.853804
251,0.853804
252,0.853804
253,0.853804
254,0.853804
255,0.853804
256,0.853804
257,0.853804
258,0.853804
259,0.853804
260,0.853804
261,0.853804
262,0.853804
263,0.853804
264,0.853804
265,0.853804
266,0.853804
267,0.853804
268,0.853804
269,0.853804
270,0.853804
271,0.853804
272,0.853804
273,0.853804
274,0.857506
275,0.857506
276,0.857506
277,0.857506
278,0.857506
279,0.857506
280,0.857506
281,0.857506
282,0.857506
283,0.857506
284,0.857506
285,0.857506
286,0.857506
287,0.857506
288,0.857506
289,0.857506
290,0.857506
291,0.857506
292,0.857506
293,0.857506
294,0.857506
295,0.857506
296,0.857506
297,0.857506
298,0.857506
299,0.857506
300,0.857506
301,0.857506
302,0.857506
303,0.857506
304,0.857506
305,0.857506
